panel	kind	frozen_inputs	source	output	generator	transformation
fig1a_matched_audit	conceptual		paper/figures/standalone/fig1a_matched_audit.tex	paper/figures/pdf/fig1a_matched_audit.pdf	scripts/build_assets.py	Conceptual matched-audit schematic; no observations.
fig1b_peer_projection	conceptual		paper/figures/standalone/fig1b_peer_projection.tex	paper/figures/pdf/fig1b_peer_projection.pdf	scripts/build_assets.py	Conceptual projection onto a rectangle; target projection is on the boundary.
fig2a_group_gain	empirical	data/frozen/llm/v23/table_v23_distributed_convex_coverage.csv	paper/figures/standalone/fig2a_group_gain.tex	paper/figures/pdf/fig2a_group_gain.pdf	scripts/build_assets.py	100*(single-group)/single. All eight targets; pointwise CI classification stored in llm_all_gains.csv.
fig2b_sibling_removal	empirical	data/frozen/llm/v23/table_v23_sibling_coverage.csv	paper/figures/standalone/fig2b_sibling_removal.tex	paper/figures/pdf/fig2b_sibling_removal.pdf	scripts/build_assets.py	Stored mean removal effects and their recorded intervals; no inferred per-peer intervals.
fig2c_directional_coverage	empirical	data/frozen/llm/v23/table_v23_distributed_convex_coverage.csv	paper/figures/standalone/fig2c_directional_coverage.tex	paper/figures/pdf/fig2c_directional_coverage.pdf	scripts/build_assets.py	MSE-fit single and convex held-out MAE, both targets and both families.
fig2d_distributed_gain	empirical	data/frozen/llm/v23/table_v23_distributed_convex_coverage.csv	paper/figures/standalone/fig2d_distributed_gain.tex	paper/figures/pdf/fig2d_distributed_gain.pdf	scripts/build_assets.py	Absolute matched-objective gains; CIs copied from archived improvement intervals.
fig3a_context_trajectory	empirical	data/frozen/llm/v22/table_2_estimand_decomposition.csv	paper/figures/standalone/fig3a_context_trajectory.tex	paper/figures/pdf/fig3a_context_trajectory.pdf	scripts/build_assets.py	Canonical five-dose trackwise-fit/trackwise-evaluation means. Values already averaged across splits in source table.
fig3b_deletion_trajectory	empirical	data/frozen/llm/v22/table_2_estimand_decomposition.csv	paper/figures/standalone/fig3b_deletion_trajectory.tex	paper/figures/pdf/fig3b_deletion_trajectory.pdf	scripts/build_assets.py	Canonical five-dose trackwise-fit/trackwise-evaluation means. Values already averaged across splits in source table.
fig3c_balanced_effects	empirical	data/frozen/llm/v23/table_v23_endpoint_claim_comparison.csv	paper/figures/standalone/fig3c_balanced_effects.tex	paper/figures/pdf/fig3c_balanced_effects.pdf	scripts/build_assets.py	Balanced endpoint changes and pointwise bootstrap intervals for named headline cases; all eight retained in appendix table.
fig4a_vision_stress	empirical	data/frozen/vision/tables/exp10_imagenet_adv_pier.csv	paper/figures/standalone/fig4a_vision_stress.tex	paper/figures/pdf/fig4a_vision_stress.pdf	scripts/build_assets.py	All six archived curves, normalized by model-specific dose-zero residual. No CI reconstruction.
fig4b_vision_context	empirical	data/frozen/vision/tables/exp11_shape_texture_pier.csv	paper/figures/standalone/fig4b_vision_context.tex	paper/figures/pdf/fig4b_vision_context.pdf	scripts/build_assets.py	Seven-model context audit; no averaging over separated shape-variant ecosystems.
fig4c_geometry_natural	empirical	data/frozen/vision/artifacts/exp13/exp13_geometry_ShapeResNet50_SIN_texture_natural.npz	paper/figures/standalone/fig4c_geometry_natural.tex	paper/figures/pdf/fig4c_geometry_natural.pdf	scripts/build_assets.py	Stored PCA coordinates multiplied by 1000 for axes only; stored hull, mixture and target. No recomputed PCA or refit.
fig4d_geometry_shape	empirical	data/frozen/vision/artifacts/exp13/exp13_geometry_ShapeResNet50_SIN_shape_bias.npz	paper/figures/standalone/fig4d_geometry_shape.tex	paper/figures/pdf/fig4d_geometry_shape.pdf	scripts/build_assets.py	Stored PCA coordinates multiplied by 1000 for axes only; stored hull, mixture and target. No recomputed PCA or refit.
figD_geometry_SININ_natural	empirical	data/frozen/vision/artifacts/exp13/exp13_geometry_ShapeResNet50_SININ_texture_natural.npz	paper/figures/standalone/figD_geometry_SININ_natural.tex	paper/figures/pdf/figD_geometry_SININ_natural.pdf	scripts/build_assets.py	Stored PCA coordinates multiplied by 1000 for axes only; stored hull, mixture and target. No recomputed PCA or refit.
figD_geometry_SININ_shape	empirical	data/frozen/vision/artifacts/exp13/exp13_geometry_ShapeResNet50_SININ_shape_bias.npz	paper/figures/standalone/figD_geometry_SININ_shape.tex	paper/figures/pdf/figD_geometry_SININ_shape.pdf	scripts/build_assets.py	Stored PCA coordinates multiplied by 1000 for axes only; stored hull, mixture and target. No recomputed PCA or refit.
figD_geometry_C_natural	empirical	data/frozen/vision/artifacts/exp13/exp13_geometry_ShapeResNet50_ShapeResNet_texture_natural.npz	paper/figures/standalone/figD_geometry_C_natural.tex	paper/figures/pdf/figD_geometry_C_natural.pdf	scripts/build_assets.py	Stored PCA coordinates multiplied by 1000 for axes only; stored hull, mixture and target. No recomputed PCA or refit.
figD_geometry_C_shape	empirical	data/frozen/vision/artifacts/exp13/exp13_geometry_ShapeResNet50_ShapeResNet_shape_bias.npz	paper/figures/standalone/figD_geometry_C_shape.tex	paper/figures/pdf/figD_geometry_C_shape.pdf	scripts/build_assets.py	Stored PCA coordinates multiplied by 1000 for axes only; stored hull, mixture and target. No recomputed PCA or refit.
fig4e_residual_mass	empirical	data/frozen/vision/artifacts/exp11/exp11_texture_natural_ConvNeXtTiny_residuals.npz;data/frozen/vision/artifacts/exp11/exp11_shape_bias_ConvNeXtTiny_residuals.npz	paper/figures/standalone/fig4e_residual_mass.tex	paper/figures/pdf/fig4e_residual_mass.pdf	scripts/build_assets.py	Exact cumulative sorted residual mass at all 401 integer counts; zero included.
fig4f_residual_overlap	empirical	data/frozen/vision/artifacts/exp11/exp11_shape_bias_ConvNeXtTiny_residuals.npz;data/frozen/vision/artifacts/exp11/exp11_shape_bias_ShapeResNet50_ShapeResNet_residuals.npz;data/frozen/vision/artifacts/exp11/exp11_texture_natural_ConvNeXtTiny_residuals.npz;data/frozen/vision/artifacts/exp11/exp11_texture_natural_ShapeResNet50_ShapeResNet_residuals.npz	paper/figures/standalone/fig4f_residual_overlap.tex	paper/figures/pdf/fig4f_residual_overlap.pdf	scripts/build_assets.py	Matched array-position overlap at every k=1..40; stable index tie-breaking, no fabricated intermediate fractions.
fig5a_traffic_utility	empirical	data/frozen/traffic/tables/exp14_multicity_tabular_summary.csv;data/frozen/traffic/tables/exp14_multicity_tabular_summary_peer_weights_long.csv	paper/figures/standalone/fig5a_traffic_utility.tex	paper/figures/pdf/fig5a_traffic_utility.pdf	scripts/build_assets.py	All 31 exact city points; stated normalizations; flag only highlights numerical feasibility, no rows excluded.
