analysis_type,target,family,metric,bootstrap_mean,bootstrap_median,bootstrap_lower,bootstrap_upper,probability_positive,probability_negative,replicates,bootstrap_unit,interval_estimand
endpoint,Qwen/Qwen2.5-7B-Instruct,content_deletion,trackwise_delta,0.002581126275084263,0.0025015986467511863,-0.004005650067918086,0.009044999379899159,0.792,0.208,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
endpoint,Qwen/Qwen2.5-7B-Instruct,irrelevant_context,trackwise_delta,0.029221666606223752,0.029165771960921516,0.023302704192796304,0.03526186548306151,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
endpoint,TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,trackwise_delta,0.0034898063289653825,0.0034042656442076014,-0.0020064350014562127,0.008958428993327976,0.886,0.114,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
endpoint,TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,trackwise_delta,0.010189971724430242,0.010145588059356685,0.004958593612706567,0.01565834596264322,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
endpoint,allenai/OLMo-2-1124-13B-Instruct,content_deletion,trackwise_delta,-0.024211251210695048,-0.02410955367933346,-0.030850268759131966,-0.017567804009028156,0.0,1.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
endpoint,allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,trackwise_delta,-0.015028597710379532,-0.01496107679431829,-0.019758251652174864,-0.009791805894885326,0.0,1.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
endpoint,google/gemma-3-12b-it,content_deletion,trackwise_delta,0.0007685656249383861,0.0007850957681494243,-0.006938055376659702,0.008231322686095598,0.582,0.418,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
endpoint,google/gemma-3-12b-it,irrelevant_context,trackwise_delta,0.015421685362871208,0.015449844680168842,0.00876047309654105,0.02244989744696326,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
endpoint,ibm-granite/granite-3.3-8b-instruct,content_deletion,trackwise_delta,-0.014908377512165796,-0.01485170227847951,-0.021722196382167807,-0.008110952765069013,0.0,1.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
endpoint,ibm-granite/granite-3.3-8b-instruct,irrelevant_context,trackwise_delta,-0.01702863466859507,-0.016897734929570654,-0.02333148198508591,-0.010993171195869093,0.0,1.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
endpoint,microsoft/Phi-4-reasoning-plus,content_deletion,trackwise_delta,0.007897636025186621,0.007694552977335645,0.002985562533754345,0.013540437774962106,0.999,0.001,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
endpoint,microsoft/Phi-4-reasoning-plus,irrelevant_context,trackwise_delta,0.017658534318762503,0.017656226622564435,0.011602520455416886,0.023927411866322825,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
endpoint,microsoft/phi-4,content_deletion,trackwise_delta,0.006520958188692731,0.006414459035029495,-0.000557405144175331,0.013810653146038077,0.963,0.037,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
endpoint,microsoft/phi-4,irrelevant_context,trackwise_delta,0.0345177770863825,0.03456893963593289,0.027479634109420142,0.041413948952614126,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
endpoint,mistralai/Mistral-Nemo-Instruct-2407,content_deletion,trackwise_delta,-0.026462898130445413,-0.026457847406569056,-0.03199417443951524,-0.02116122861322664,0.0,1.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
endpoint,mistralai/Mistral-Nemo-Instruct-2407,irrelevant_context,trackwise_delta,-0.01578312720823088,-0.015755632052258068,-0.020628678631359545,-0.010939906368859591,0.0,1.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
