claim,v21_status,v22_raw_trackwise_status,bootstrap_status,calibration_status,interface_sensitivity_status,vector_support_status,details,final_recommended_wording
phi-4 irrelevant-context activation,stable,supported,stable,survives,survives,supported,irrelevant_context: Δ=0.0353688,"Under the corrected trackwise candidate-label estimand, microsoft/phi-4 moved away from the fixed peer hull under irrelevant context; the effect was stable across paired splits and base-question resampling."
Qwen2.5 irrelevant-context activation,stable,supported,stable,survives,survives,supported,irrelevant_context: Δ=0.02921,"Under the corrected trackwise candidate-label estimand, Qwen/Qwen2.5-7B-Instruct moved away from the fixed peer hull under irrelevant context; the effect was stable across paired splits and base-question resampling."
OLMo irrelevant-context contraction,stable,supported,stable,survives,survives,supported,irrelevant_context: Δ=-0.0150127,"Under the corrected trackwise candidate-label estimand, allenai/OLMo-2-1124-13B-Instruct moved toward the fixed peer hull under irrelevant context; the effect was stable across paired splits and base-question resampling."
Mistral irrelevant-context contraction,stable,supported,stable,survives,survives,supported,irrelevant_context: Δ=-0.0159064,"Under the corrected trackwise candidate-label estimand, mistralai/Mistral-Nemo-Instruct-2407 moved toward the fixed peer hull under irrelevant context; the effect was stable across paired splits and base-question resampling."
Granite irrelevant-context contraction,stable,supported,stable,survives,survives,supported,irrelevant_context: Δ=-0.0169823,"Under the corrected trackwise candidate-label estimand, ibm-granite/granite-3.3-8b-instruct moved toward the fixed peer hull under irrelevant context; the effect was stable across paired splits and base-question resampling."
Qwen sibling coverage in content deletion,stable,supported,stable,survives,survives,supported,"content_deletion: inflation=0.0712284, largest-null splits=10/10","For Qwen/Qwen2.5-7B-Instruct, removing the declared sibling increased corrected trackwise PIER under content deletion, conditional on the fixed roster."
Qwen sibling coverage in irrelevant context,stable,supported,stable,survives,survives,supported,"irrelevant_context: inflation=0.0607875, largest-null splits=10/10","For Qwen/Qwen2.5-7B-Instruct, removing the declared sibling increased corrected trackwise PIER under irrelevant context, conditional on the fixed roster."
General-Reasoner sibling coverage in content deletion,stable,supported,stable,survives,survives,supported,"content_deletion: inflation=0.0591104, largest-null splits=10/10","For TIGER-Lab/General-Reasoner-Qwen2.5-7B, removing the declared sibling increased corrected trackwise PIER under content deletion, conditional on the fixed roster."
General-Reasoner sibling coverage in irrelevant context,stable,supported,stable,survives,survives,supported,"irrelevant_context: inflation=0.0461028, largest-null splits=10/10","For TIGER-Lab/General-Reasoner-Qwen2.5-7B, removing the declared sibling increased corrected trackwise PIER under irrelevant context, conditional on the fixed roster."
Phi-4-reasoning-plus distributed convex coverage in both families,stable,supported,stable,survives,survives,supported,irrelevant_context: improvement=0.0359562; content_deletion: improvement=0.0396007,"For microsoft/Phi-4-reasoning-plus, a fixed distributed convex surrogate outperformed the fit-selected single peer in both intervention families under the corrected trackwise estimand."
Mistral distributed convex coverage in both families,stable,supported,stable,survives,survives,supported,irrelevant_context: improvement=0.0278708; content_deletion: improvement=0.0323686,"For mistralai/Mistral-Nemo-Instruct-2407, a fixed distributed convex surrogate outperformed the fit-selected single peer in both intervention families under the corrected trackwise estimand."
content-deletion contraction for OLMo,stable,supported,stable,survives,survives,not_supported,content_deletion: Δ=-0.024366,"Under the corrected trackwise candidate-label estimand, allenai/OLMo-2-1124-13B-Instruct moved toward the fixed peer hull under content deletion; the effect was stable across paired splits and base-question resampling."
content-deletion contraction for Mistral,stable,supported,stable,survives,survives,supported,content_deletion: Δ=-0.02666,"Under the corrected trackwise candidate-label estimand, mistralai/Mistral-Nemo-Instruct-2407 moved toward the fixed peer hull under content deletion; the effect was stable across paired splits and base-question resampling."
content-deletion contraction for Granite,stable,supported,stable,survives,survives,not_supported,content_deletion: Δ=-0.0150413,"Under the corrected trackwise candidate-label estimand, ibm-granite/granite-3.3-8b-instruct moved toward the fixed peer hull under content deletion; the effect was stable across paired splits and base-question resampling."
