claim_id,v22_raw_trackwise,v23_endpoint_raw,v23_permutation_averaged,common_bootstrap,matched_objective,generation_compatibility,final_status,paper_ready_wording
C1_phi4_irrelevant_outward,True,True,True,True,True,False,SUPPORTED_WITH_INTERFACE_QUALIFIER,"For microsoft/phi-4, endpoint PIER increased under irrelevant_context after exact cyclic option-label averaging."
C1_qwen_irrelevant_outward,True,True,True,True,True,True,LOCKED,"For Qwen/Qwen2.5-7B-Instruct, endpoint PIER increased under irrelevant_context after exact cyclic option-label averaging."
C2_mistral_irrelevant_inward,True,True,True,True,True,True,LOCKED,"For mistralai/Mistral-Nemo-Instruct-2407, endpoint PIER decreased under irrelevant_context after exact cyclic option-label averaging."
C2_olmo_irrelevant_inward,True,True,True,True,True,True,LOCKED,"For allenai/OLMo-2-1124-13B-Instruct, endpoint PIER decreased under irrelevant_context after exact cyclic option-label averaging."
C2_granite_irrelevant_inward,True,True,True,False,True,True,RAW_INTERFACE_ONLY,"For ibm-granite/granite-3.3-8b-instruct, endpoint PIER decreased under irrelevant_context after exact cyclic option-label averaging was not supported by the balanced semantic interface."
C5_mistral_deletion_contraction,True,True,True,True,True,True,LOCKED,"For mistralai/Mistral-Nemo-Instruct-2407, endpoint PIER decreased under content_deletion after exact cyclic option-label averaging."
C5_olmo_deletion_scalar,True,True,True,True,True,True,SUPPORTED_WITH_INTERFACE_QUALIFIER,"For allenai/OLMo-2-1124-13B-Instruct, endpoint PIER decreased under content_deletion after exact cyclic option-label averaging."
C5_granite_deletion_scalar,True,True,True,False,True,True,RAW_INTERFACE_ONLY,"For ibm-granite/granite-3.3-8b-instruct, endpoint PIER decreased under content_deletion after exact cyclic option-label averaging was not supported by the balanced semantic interface."
C3_Qwen/Qwen2.5-7B-Instruct_irrelevant_context,True,True,True,True,True,True,LOCKED,"For Qwen/Qwen2.5-7B-Instruct under irrelevant_context, removing its declared Qwen sibling caused more coverage loss than any same-size non-sibling removal."
C3_Qwen/Qwen2.5-7B-Instruct_content_deletion,True,True,True,True,True,True,LOCKED,"For Qwen/Qwen2.5-7B-Instruct under content_deletion, removing its declared Qwen sibling caused more coverage loss than any same-size non-sibling removal."
C3_TIGER-Lab/General-Reasoner-Qwen2.5-7B_irrelevant_context,True,True,True,True,True,False,SUPPORTED_WITH_INTERFACE_QUALIFIER,"For TIGER-Lab/General-Reasoner-Qwen2.5-7B under irrelevant_context, removing its declared Qwen sibling caused more coverage loss than any same-size non-sibling removal."
C3_TIGER-Lab/General-Reasoner-Qwen2.5-7B_content_deletion,True,True,True,True,True,False,SUPPORTED_WITH_INTERFACE_QUALIFIER,"For TIGER-Lab/General-Reasoner-Qwen2.5-7B under content_deletion, removing its declared Qwen sibling caused more coverage loss than any same-size non-sibling removal."
C4_microsoft/Phi-4-reasoning-plus_irrelevant_context,True,True,True,True,True,False,SUPPORTED_WITH_INTERFACE_QUALIFIER,"For microsoft/Phi-4-reasoning-plus under irrelevant_context, a fixed convex peer surrogate outperformed every honestly selected single peer under both MSE- and MAE-matched fitting."
C4_microsoft/Phi-4-reasoning-plus_content_deletion,True,True,True,True,True,False,SUPPORTED_WITH_INTERFACE_QUALIFIER,"For microsoft/Phi-4-reasoning-plus under content_deletion, a fixed convex peer surrogate outperformed every honestly selected single peer under both MSE- and MAE-matched fitting."
C4_mistralai/Mistral-Nemo-Instruct-2407_irrelevant_context,True,True,True,True,True,True,LOCKED,"For mistralai/Mistral-Nemo-Instruct-2407 under irrelevant_context, a fixed convex peer surrogate outperformed every honestly selected single peer under both MSE- and MAE-matched fitting."
C4_mistralai/Mistral-Nemo-Instruct-2407_content_deletion,True,True,True,True,True,True,LOCKED,"For mistralai/Mistral-Nemo-Instruct-2407 under content_deletion, a fixed convex peer surrogate outperformed every honestly selected single peer under both MSE- and MAE-matched fitting."
