analysis_type,target,family,metric,bootstrap_mean,bootstrap_median,bootstrap_lower,bootstrap_upper,probability_positive,probability_negative,replicates,bootstrap_unit,interval_estimand
convexity,Qwen/Qwen2.5-7B-Instruct,content_deletion,absolute_improvement,-0.014916352609215252,-0.014854216260154169,-0.01831908893080139,-0.011970845208687488,0.0,1.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
convexity,Qwen/Qwen2.5-7B-Instruct,irrelevant_context,absolute_improvement,-0.015064203963767736,-0.01497868095786064,-0.01872126316352899,-0.01142864188126571,0.0,1.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
convexity,TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,absolute_improvement,-0.00046227411101163753,-0.0004373485364558588,-0.004291357421987809,0.0031263272186782703,0.411,0.589,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
convexity,TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,absolute_improvement,0.01040635832327967,0.010477580974939515,0.00618278298427887,0.015031622171744521,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
convexity,allenai/OLMo-2-1124-13B-Instruct,content_deletion,absolute_improvement,-0.0036893704625795224,-0.003976198134090577,-0.00890609699483473,0.0028826751113578846,0.11,0.89,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
convexity,allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,absolute_improvement,-0.006557407458604488,-0.006903267715084966,-0.011920125918352203,0.0012439569980354228,0.039,0.961,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
convexity,google/gemma-3-12b-it,content_deletion,absolute_improvement,0.00151043358028166,0.0015601353932941167,-0.005921817628946301,0.009295049046902426,0.642,0.358,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
convexity,google/gemma-3-12b-it,irrelevant_context,absolute_improvement,0.0023716362290835996,0.0023682403497762945,-0.006107269164562531,0.010942784742804785,0.707,0.293,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
convexity,ibm-granite/granite-3.3-8b-instruct,content_deletion,absolute_improvement,0.007770267146412356,0.007751387822307542,0.0015281603813719915,0.014732395137953075,0.993,0.007,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
convexity,ibm-granite/granite-3.3-8b-instruct,irrelevant_context,absolute_improvement,0.006826310798606425,0.006501506462511157,3.236467767096368e-05,0.015214711882308055,0.977,0.023,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
convexity,microsoft/Phi-4-reasoning-plus,content_deletion,absolute_improvement,0.038911922363361745,0.038778872470194146,0.033700128372102775,0.04491385798894578,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
convexity,microsoft/Phi-4-reasoning-plus,irrelevant_context,absolute_improvement,0.03567147309484457,0.03554039737046602,0.030080579126061827,0.04271867398277607,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
convexity,microsoft/phi-4,content_deletion,absolute_improvement,0.020367480116320294,0.020319321263874937,0.014548776811025128,0.026234806753551377,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
convexity,microsoft/phi-4,irrelevant_context,absolute_improvement,0.010431494262533019,0.01028872447773645,0.0022248762761106714,0.01960448118338214,0.998,0.002,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
convexity,mistralai/Mistral-Nemo-Instruct-2407,content_deletion,absolute_improvement,0.03257057661437689,0.03230584752925625,0.025667467231009693,0.041099941575907135,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
convexity,mistralai/Mistral-Nemo-Instruct-2407,irrelevant_context,absolute_improvement,0.030575613542033718,0.030343855953499744,0.02383359923144885,0.038681180435757745,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
